Date,County,Cases,Hospitalizations,Deaths,State
2020-05-01,West Piedmont,45,6,1,Virginia
2020-05-01,Three Rivers,235,22,2,Virginia
2020-05-01,Alleghany,117,16,3,Virginia
2020-05-01,Lenowisco,41,14,2,Virginia
2020-05-01,Norfolk,211,42,3,Virginia
2020-05-01,Western Tidewater,425,47,17,Virginia
2020-05-01,Henrico,926,135,104,Virginia
2020-05-01,Central Shenandoah,821,46,17,Virginia
2020-05-01,Loudoun,881,95,16,Virginia
2020-05-01,Chesterfield,664,53,29,Virginia
2020-05-01,Peninsula,357,99,25,Virginia
2020-04-30,Southside,135,24,10,Virginia
2020-04-30,Chesapeake,256,60,7,Virginia
2020-04-30,Thomas Jefferson,298,60,13,Virginia
2020-04-30,Roanoke,80,5,0,Virginia
2020-04-30,Eastern Shore,385,22,5,Virginia
2020-04-30,Mount Rogers,86,16,4,Virginia
2020-04-30,Chickahominy,246,51,18,Virginia
2020-04-30,New River,75,10,1,Virginia
2020-04-30,Central Virginia,136,7,1,Virginia
2020-04-30,Piedmont,199,21,3,Virginia
2020-04-30,Lord Fairfax,446,42,4,Virginia
2020-04-30,Crater,205,55,12,Virginia
2020-04-30,Hampton,119,28,1,Virginia
2020-04-30,Alexandria,802,104,24,Virginia
2020-04-30,Fairfax,3952,650,141,Virginia
2020-04-30,Richmond,364,66,15,Virginia
2020-04-30,Arlington,1004,169,42,Virginia
2020-04-30,Rappahannock Rapidan,345,26,5,Virginia
2020-04-30,Rappahannock,506,91,11,Virginia
2020-04-30,Pittsylvania-Danville,48,19,2,Virginia
2020-04-30,Prince William,2071,212,31,Virginia
2020-04-30,Cumberland Plateau,26,1,0,Virginia
2020-04-30,Portsmouth,170,33,7,Virginia
2020-04-30,Virginia Beach,396,81,14,Virginia
2020-04-30,West Piedmont,41,6,1,Virginia
2020-04-30,Three Rivers,227,22,2,Virginia
2020-04-30,Alleghany,116,16,3,Virginia
2020-04-30,Lenowisco,41,14,2,Virginia
2020-04-30,Norfolk,204,42,3,Virginia
2020-04-30,Western Tidewater,422,47,17,Virginia
2020-04-30,Henrico,898,129,102,Virginia
2020-04-30,Central Shenandoah,793,44,13,Virginia
2020-04-30,Loudoun,832,93,15,Virginia
2020-04-30,Chesterfield,625,52,29,Virginia
2020-04-30,Peninsula,352,98,23,Virginia
2020-04-29,Pittsylvania-Danville,46,19,2,Virginia
2020-04-29,Peninsula,338,98,21,Virginia
2020-04-29,Eastern Shore,265,21,4,Virginia
2020-04-29,Lenowisco,40,14,2,Virginia
2020-04-29,Cumberland Plateau,25,1,0,Virginia
2020-04-29,Piedmont,150,19,3,Virginia
2020-04-29,Southside,131,24,10,Virginia
2020-04-29,Alexandria,700,92,21,Virginia
2020-04-29,Henrico,846,122,98,Virginia
2020-04-29,Hampton,109,28,1,Virginia
2020-04-29,Alleghany,99,16,3,Virginia
2020-04-29,Richmond,323,62,14,Virginia
2020-04-29,Chesapeake,232,56,6,Virginia
2020-04-29,Crater,197,53,12,Virginia
2020-04-29,Roanoke,57,5,0,Virginia
2020-04-29,Portsmouth,150,33,5,Virginia
2020-04-29,Central Shenandoah,710,43,13,Virginia
2020-04-29,New River,73,8,1,Virginia
2020-04-29,Loudoun,727,87,14,Virginia
2020-04-29,Central Virginia,120,7,1,Virginia
2020-04-29,Chickahominy,223,49,15,Virginia
2020-04-29,Rappahannock Rapidan,282,25,5,Virginia
2020-04-29,Norfolk,192,39,3,Virginia
2020-04-29,Arlington,912,163,32,Virginia
2020-04-29,Prince William,1783,195,26,Virginia
2020-04-29,Thomas Jefferson,264,59,12,Virginia
2020-04-29,Rappahannock,439,91,9,Virginia
2020-04-29,Three Rivers,218,16,2,Virginia
2020-04-29,Chesterfield,562,42,23,Virginia
2020-04-29,Lord Fairfax,382,37,4,Virginia
2020-04-29,Fairfax,3501,592,128,Virginia
2020-04-29,Virginia Beach,365,76,12,Virginia
2020-04-29,Mount Rogers,75,16,4,Virginia
2020-04-29,West Piedmont,41,5,1,Virginia
2020-04-29,Western Tidewater,384,46,15,Virginia
2020-04-28,Pittsylvania-Danville,46,19,2,Virginia
2020-04-28,Peninsula,338,98,21,Virginia
2020-04-28,Eastern Shore,265,21,4,Virginia
2020-04-28,Lenowisco,40,14,2,Virginia
2020-04-28,Cumberland Plateau,25,1,0,Virginia
2020-04-28,Piedmont,150,19,3,Virginia
2020-04-28,Southside,131,24,10,Virginia
2020-04-28,Alexandria,700,92,21,Virginia
2020-04-28,Henrico,846,122,98,Virginia
2020-04-28,Hampton,109,28,1,Virginia
2020-04-28,Alleghany,99,16,3,Virginia
2020-04-28,Richmond,323,62,14,Virginia
2020-04-28,Chesapeake,232,56,6,Virginia
2020-04-28,Crater,197,53,12,Virginia
2020-04-28,Roanoke,57,5,0,Virginia
2020-04-28,Portsmouth,150,33,5,Virginia
2020-04-28,Central Shenandoah,710,43,13,Virginia
2020-04-28,New River,73,8,1,Virginia
2020-04-28,Loudoun,727,87,14,Virginia
2020-04-28,Central Virginia,120,7,1,Virginia
2020-04-28,Chickahominy,223,49,15,Virginia
2020-04-28,Rappahannock Rapidan,282,25,5,Virginia
2020-04-28,Norfolk,192,39,3,Virginia
2020-04-28,Arlington,912,163,32,Virginia
2020-04-28,Prince William,1783,195,26,Virginia
2020-04-28,Thomas Jefferson,264,59,12,Virginia
2020-04-28,Rappahannock,439,91,9,Virginia
2020-04-28,Three Rivers,218,16,2,Virginia
2020-04-28,Chesterfield,562,42,23,Virginia
2020-04-28,Lord Fairfax,382,37,4,Virginia
2020-04-28,Fairfax,3501,592,128,Virginia
2020-04-28,Virginia Beach,365,76,12,Virginia
2020-04-28,Mount Rogers,75,16,4,Virginia
2020-04-28,West Piedmont,41,5,1,Virginia
2020-04-28,Western Tidewater,384,46,15,Virginia
2020-04-27,Pittsylvania-Danville,44,18,2,Virginia
2020-04-27,Peninsula,336,98,21,Virginia
2020-04-27,Eastern Shore,258,21,4,Virginia
2020-04-27,Lenowisco,40,13,2,Virginia
2020-04-27,Cumberland Plateau,24,1,0,Virginia
2020-04-27,Piedmont,144,18,3,Virginia
2020-04-27,Southside,130,23,9,Virginia
2020-04-27,Alexandria,653,82,20,Virginia
2020-04-27,Henrico,835,120,95,Virginia
2020-04-27,Hampton,108,28,1,Virginia
2020-04-27,Alleghany,88,15,3,Virginia
2020-04-27,Richmond,312,60,14,Virginia
2020-04-27,Chesapeake,220,50,6,Virginia
2020-04-27,Crater,190,51,12,Virginia
2020-04-27,Roanoke,35,5,0,Virginia
2020-04-27,Portsmouth,149,32,5,Virginia
2020-04-27,Central Shenandoah,698,42,11,Virginia
2020-04-27,New River,71,8,1,Virginia
2020-04-27,Loudoun,688,84,12,Virginia
2020-04-27,Central Virginia,113,7,1,Virginia
2020-04-27,Chickahominy,217,46,14,Virginia
2020-04-27,Rappahannock Rapidan,275,24,4,Virginia
2020-04-27,Norfolk,188,38,3,Virginia
2020-04-27,Arlington,865,157,32,Virginia
2020-04-27,Prince William,1677,183,23,Virginia
2020-04-27,Thomas Jefferson,261,59,12,Virginia
2020-04-27,Rappahannock,426,88,9,Virginia
2020-04-27,Three Rivers,214,15,1,Virginia
2020-04-27,Chesterfield,546,40,23,Virginia
2020-04-27,Lord Fairfax,355,36,3,Virginia
2020-04-27,Fairfax,3331,562,118,Virginia
2020-04-27,Virginia Beach,359,76,12,Virginia
2020-04-27,Mount Rogers,68,15,4,Virginia
2020-04-27,West Piedmont,40,5,1,Virginia
2020-04-27,Western Tidewater,381,45,11,Virginia
2020-04-26,Pittsylvania-Danville,44,18,2,Virginia
2020-04-26,Peninsula,331,98,21,Virginia
2020-04-26,Eastern Shore,223,20,3,Virginia
2020-04-26,Lenowisco,37,13,2,Virginia
2020-04-26,Cumberland Plateau,22,1,0,Virginia
2020-04-26,Piedmont,133,17,3,Virginia
2020-04-26,Southside,129,23,9,Virginia
2020-04-26,Alexandria,627,79,18,Virginia
2020-04-26,Henrico,817,116,89,Virginia
2020-04-26,Hampton,108,28,1,Virginia
2020-04-26,Alleghany,87,14,3,Virginia
2020-04-26,Richmond,304,59,14,Virginia
2020-04-26,Chesapeake,214,45,6,Virginia
2020-04-26,Crater,190,51,12,Virginia
2020-04-26,Roanoke,33,5,0,Virginia
2020-04-26,Portsmouth,114,32,5,Virginia
2020-04-26,Central Shenandoah,647,42,11,Virginia
2020-04-26,New River,71,8,1,Virginia
2020-04-26,Loudoun,628,78,12,Virginia
2020-04-26,Central Virginia,113,7,1,Virginia
2020-04-26,Chickahominy,213,43,12,Virginia
2020-04-26,Rappahannock Rapidan,250,22,4,Virginia
2020-04-26,Norfolk,184,36,3,Virginia
2020-04-26,Arlington,836,144,32,Virginia
2020-04-26,Prince William,1568,171,23,Virginia
2020-04-26,Thomas Jefferson,258,57,11,Virginia
2020-04-26,Rappahannock,410,87,9,Virginia
2020-04-26,Three Rivers,204,14,1,Virginia
2020-04-26,Chesterfield,513,39,21,Virginia
2020-04-26,Lord Fairfax,344,35,2,Virginia
2020-04-26,Fairfax,3055,529,104,Virginia
2020-04-26,Virginia Beach,355,72,10,Virginia
2020-04-26,Mount Rogers,66,15,4,Virginia
2020-04-26,West Piedmont,36,5,1,Virginia
2020-04-26,Western Tidewater,371,43,8,Virginia
2020-04-25,Pittsylvania-Danville,44,17,2,Virginia
2020-04-25,Peninsula,329,97,20,Virginia
2020-04-25,Eastern Shore,211,18,3,Virginia
2020-04-25,Lenowisco,36,12,2,Virginia
2020-04-25,Cumberland Plateau,20,1,0,Virginia
2020-04-25,Piedmont,123,17,3,Virginia
2020-04-25,Southside,125,23,9,Virginia
2020-04-25,Alexandria,591,80,19,Virginia
2020-04-25,Henrico,792,116,89,Virginia
2020-04-25,Hampton,104,28,1,Virginia
2020-04-25,Alleghany,83,14,3,Virginia
2020-04-25,Richmond,301,58,14,Virginia
2020-04-25,Chesapeake,208,45,6,Virginia
2020-04-25,Crater,173,49,11,Virginia
2020-04-25,Roanoke,33,5,0,Virginia
2020-04-25,Portsmouth,108,32,5,Virginia
2020-04-25,Central Shenandoah,625,41,11,Virginia
2020-04-25,New River,69,8,1,Virginia
2020-04-25,Loudoun,596,76,11,Virginia
2020-04-25,Central Virginia,111,7,1,Virginia
2020-04-25,Chickahominy,208,43,12,Virginia
2020-04-25,Rappahannock Rapidan,232,21,3,Virginia
2020-04-25,Norfolk,179,34,3,Virginia
2020-04-25,Arlington,790,141,32,Virginia
2020-04-25,Prince William,1468,155,22,Virginia
2020-04-25,Thomas Jefferson,254,50,11,Virginia
2020-04-25,Rappahannock,391,87,9,Virginia
2020-04-25,Three Rivers,161,14,1,Virginia
2020-04-25,Chesterfield,513,39,21,Virginia
2020-04-25,Lord Fairfax,334,35,1,Virginia
2020-04-25,Fairfax,2941,516,99,Virginia
2020-04-25,Virginia Beach,345,72,10,Virginia
2020-04-25,Mount Rogers,66,15,4,Virginia
2020-04-25,West Piedmont,35,5,1,Virginia
2020-04-25,Western Tidewater,371,43,8,Virginia
2020-04-24,Pittsylvania-Danville,43,17,2,Virginia
2020-04-24,Peninsula,325,97,20,Virginia
2020-04-24,Eastern Shore,166,18,3,Virginia
2020-04-24,Lenowisco,35,12,2,Virginia
2020-04-24,Cumberland Plateau,20,1,0,Virginia
2020-04-24,Piedmont,118,17,3,Virginia
2020-04-24,Southside,115,23,9,Virginia
2020-04-24,Alexandria,575,80,18,Virginia
2020-04-24,Henrico,764,115,89,Virginia
2020-04-24,Hampton,101,26,1,Virginia
2020-04-24,Alleghany,82,14,3,Virginia
2020-04-24,Richmond,287,55,14,Virginia
2020-04-24,Chesapeake,200,45,6,Virginia
2020-04-24,Crater,170,41,9,Virginia
2020-04-24,Roanoke,33,5,0,Virginia
2020-04-24,Portsmouth,103,31,5,Virginia
2020-04-24,Central Shenandoah,624,40,11,Virginia
2020-04-24,New River,69,8,1,Virginia
2020-04-24,Loudoun,564,72,11,Virginia
2020-04-24,Central Virginia,103,7,1,Virginia
2020-04-24,Chickahominy,204,40,12,Virginia
2020-04-24,Rappahannock Rapidan,216,21,3,Virginia
2020-04-24,Norfolk,169,32,3,Virginia
2020-04-24,Arlington,764,139,29,Virginia
2020-04-24,Prince William,1382,150,21,Virginia
2020-04-24,Thomas Jefferson,249,50,11,Virginia
2020-04-24,Rappahannock,368,78,9,Virginia
2020-04-24,Three Rivers,146,14,1,Virginia
2020-04-24,Chesterfield,494,39,21,Virginia
2020-04-24,Lord Fairfax,329,35,1,Virginia
2020-04-24,Fairfax,2797,488,94,Virginia
2020-04-24,Virginia Beach,335,71,10,Virginia
2020-04-24,Mount Rogers,59,15,4,Virginia
2020-04-24,West Piedmont,34,5,1,Virginia
2020-04-24,Western Tidewater,323,41,8,Virginia
2020-04-23,Pittsylvania-Danville,42,17,2,Virginia
2020-04-23,Peninsula,320,96,20,Virginia
2020-04-23,Eastern Shore,115,18,3,Virginia
2020-04-23,Lenowisco,35,12,2,Virginia
2020-04-23,Cumberland Plateau,18,1,0,Virginia
2020-04-23,Piedmont,111,17,3,Virginia
2020-04-23,Southside,104,23,7,Virginia
2020-04-23,Alexandria,547,81,15,Virginia
2020-04-23,Henrico,729,107,86,Virginia
2020-04-23,Hampton,99,26,1,Virginia
2020-04-23,Alleghany,82,14,3,Virginia
2020-04-23,Richmond,267,51,14,Virginia
2020-04-23,Chesapeake,197,43,5,Virginia
2020-04-23,Crater,167,35,9,Virginia
2020-04-23,Roanoke,33,5,0,Virginia
2020-04-23,Portsmouth,100,30,4,Virginia
2020-04-23,Central Shenandoah,599,39,11,Virginia
2020-04-23,New River,67,8,0,Virginia
2020-04-23,Loudoun,529,67,10,Virginia
2020-04-23,Central Virginia,102,7,1,Virginia
2020-04-23,Chickahominy,201,40,12,Virginia
2020-04-23,Rappahannock Rapidan,200,21,3,Virginia
2020-04-23,Norfolk,141,31,3,Virginia
2020-04-23,Arlington,722,120,24,Virginia
2020-04-23,Prince William,1291,138,20,Virginia
2020-04-23,Thomas Jefferson,244,49,11,Virginia
2020-04-23,Rappahannock,355,75,9,Virginia
2020-04-23,Three Rivers,122,11,1,Virginia
2020-04-23,Chesterfield,473,38,20,Virginia
2020-04-23,Lord Fairfax,256,31,0,Virginia
2020-04-23,Fairfax,2584,460,89,Virginia
2020-04-23,Virginia Beach,331,65,10,Virginia
2020-04-23,Mount Rogers,59,15,4,Virginia
2020-04-23,West Piedmont,33,5,1,Virginia
2020-04-23,Western Tidewater,319,41,7,Virginia
2020-04-22,Pittsylvania-Danville,42,17,2,Virginia
2020-04-22,Peninsula,317,96,20,Virginia
2020-04-22,Eastern Shore,88,18,2,Virginia
2020-04-22,Lenowisco,34,12,2,Virginia
2020-04-22,Cumberland Plateau,18,1,0,Virginia
2020-04-22,Piedmont,104,17,3,Virginia
2020-04-22,Southside,97,22,1,Virginia
2020-04-22,Alexandria,512,74,14,Virginia
2020-04-22,Henrico,718,99,83,Virginia
2020-04-22,Hampton,99,26,1,Virginia
2020-04-22,Alleghany,76,13,3,Virginia
2020-04-22,Richmond,259,45,13,Virginia
2020-04-22,Chesapeake,186,40,5,Virginia
2020-04-22,Crater,164,32,9,Virginia
2020-04-22,Roanoke,28,5,0,Virginia
2020-04-22,Portsmouth,98,30,4,Virginia
2020-04-22,Central Shenandoah,575,37,10,Virginia
2020-04-22,New River,66,8,0,Virginia
2020-04-22,Loudoun,498,64,10,Virginia
2020-04-22,Central Virginia,99,7,1,Virginia
2020-04-22,Chickahominy,194,38,12,Virginia
2020-04-22,Rappahannock Rapidan,185,19,2,Virginia
2020-04-22,Norfolk,136,31,3,Virginia
2020-04-22,Arlington,686,118,24,Virginia
2020-04-22,Prince William,1192,132,20,Virginia
2020-04-22,Thomas Jefferson,242,48,10,Virginia
2020-04-22,Rappahannock,336,75,9,Virginia
2020-04-22,Three Rivers,122,11,1,Virginia
2020-04-22,Chesterfield,452,34,9,Virginia
2020-04-22,Lord Fairfax,234,28,0,Virginia
2020-04-22,Fairfax,2413,436,80,Virginia
2020-04-22,Virginia Beach,328,61,8,Virginia
2020-04-22,Mount Rogers,59,15,4,Virginia
2020-04-22,West Piedmont,28,4,1,Virginia
2020-04-22,Western Tidewater,313,40,6,Virginia
2020-04-21,Lenowisco,32,10,2,Virginia
2020-04-21,Chesterfield,402,30,9,Virginia
2020-04-21,Portsmouth,93,30,4,Virginia
2020-04-21,Western Tidewater,249,39,6,Virginia
2020-04-21,Cumberland Plateau,18,1,0,Virginia
2020-04-21,Prince William,1075,122,18,Virginia
2020-04-21,Hampton,97,26,1,Virginia
2020-04-21,Southside,94,21,1,Virginia
2020-04-21,Henrico,684,96,82,Virginia
2020-04-21,Alexandria,474,65,12,Virginia
2020-04-21,Chickahominy,191,35,11,Virginia
2020-04-21,New River,66,8,0,Virginia
2020-04-21,Fairfax,2306,409,68,Virginia
2020-04-21,Lord Fairfax,217,21,0,Virginia
2020-04-21,Rappahannock Rapidan,164,18,2,Virginia
2020-04-21,Pittsylvania-Danville,38,17,2,Virginia
2020-04-21,Crater,139,26,9,Virginia
2020-04-21,Virginia Beach,313,60,8,Virginia
2020-04-21,Richmond,250,41,10,Virginia
2020-04-21,Norfolk,126,29,3,Virginia
2020-04-21,Thomas Jefferson,234,46,10,Virginia
2020-04-21,Eastern Shore,67,16,1,Virginia
2020-04-21,West Piedmont,28,4,1,Virginia
2020-04-21,Piedmont,90,16,3,Virginia
2020-04-21,Peninsula,311,96,20,Virginia
2020-04-21,Alleghany,73,13,3,Virginia
2020-04-21,Chesapeake,180,39,5,Virginia
2020-04-21,Rappahannock,310,75,9,Virginia
2020-04-21,Three Rivers,104,10,1,Virginia
2020-04-21,Central Shenandoah,525,36,9,Virginia
2020-04-21,Mount Rogers,58,15,4,Virginia
2020-04-21,Loudoun,475,61,9,Virginia
2020-04-21,Central Virginia,93,7,2,Virginia
2020-04-21,Roanoke,27,5,0,Virginia
2020-04-21,Arlington,663,116,24,Virginia
2020-04-20,Alexandria,462,60,9,Virginia
2020-04-20,Alleghany,64,13,3,Virginia
2020-04-20,Arlington,625,114,23,Virginia
2020-04-20,Central Shenandoah,445,23,1,Virginia
2020-04-20,Central Virginia,89,7,2,Virginia
2020-04-20,Chesapeake,176,39,5,Virginia
2020-04-20,Chesterfield,390,29,9,Virginia
2020-04-20,Chickahominy,186,35,12,Virginia
2020-04-20,Crater,138,25,9,Virginia
2020-04-20,Cumberland Plateau,18,1,0,Virginia
2020-04-20,Eastern Shore,59,16,1,Virginia
2020-04-20,Fairfax,2123,383,66,Virginia
2020-04-20,Hampton,92,26,1,Virginia
2020-04-20,Henrico,621,90,77,Virginia
2020-04-20,Lenowisco,32,10,2,Virginia
2020-04-20,Lord Fairfax,201,21,0,Virginia
2020-04-20,Loudoun,468,59,8,Virginia
2020-04-20,Mount Rogers,57,15,4,Virginia
2020-04-20,New River,62,8,0,Virginia
2020-04-20,Norfolk,118,28,3,Virginia
2020-04-20,Peninsula,311,96,20,Virginia
2020-04-20,Piedmont,90,16,3,Virginia
2020-04-20,Pittsylvania-Danville,36,17,2,Virginia
2020-04-20,Portsmouth,82,28,4,Virginia
2020-04-20,Prince William,1008,113,17,Virginia
2020-04-20,Rappahannock,296,72,6,Virginia
2020-04-20,Rappahannock Rapidan,148,18,2,Virginia
2020-04-20,Richmond,246,39,10,Virginia
2020-04-20,Roanoke,25,5,0,Virginia
2020-04-20,Southside,92,20,1,Virginia
2020-04-20,Thomas Jefferson,224,46,10,Virginia
2020-04-20,Three Rivers,102,10,1,Virginia
2020-04-20,Virginia Beach,288,60,8,Virginia
2020-04-20,West Piedmont,27,4,1,Virginia
2020-04-20,Western Tidewater,229,35,4,Virginia
2020-04-19,Alexandria,421,45,8,Virginia
2020-04-19,Alleghany,62,12,3,Virginia
2020-04-19,Arlington,593,112,22,Virginia
2020-04-19,Central Shenandoah,411,23,1,Virginia
2020-04-19,Central Virginia,82,7,2,Virginia
2020-04-19,Chesapeake,166,38,5,Virginia
2020-04-19,Chesterfield,365,29,7,Virginia
2020-04-19,Chickahominy,178,34,12,Virginia
2020-04-19,Crater,121,21,9,Virginia
2020-04-19,Cumberland Plateau,18,1,0,Virginia
2020-04-19,Eastern Shore,59,16,1,Virginia
2020-04-19,Fairfax,1970,366,59,Virginia
2020-04-19,Hampton,90,27,1,Virginia
2020-04-19,Henrico,598,83,72,Virginia
2020-04-19,Lenowisco,31,10,2,Virginia
2020-04-19,Lord Fairfax,191,18,0,Virginia
2020-04-19,Loudoun,446,56,8,Virginia
2020-04-19,Mount Rogers,57,15,4,Virginia
2020-04-19,New River,58,8,0,Virginia
2020-04-19,Norfolk,113,28,2,Virginia
2020-04-19,Peninsula,312,97,20,Virginia
2020-04-19,Piedmont,86,15,2,Virginia
2020-04-19,Pittsylvania-Danville,34,17,1,Virginia
2020-04-19,Portsmouth,65,24,4,Virginia
2020-04-19,Prince William,919,110,17,Virginia
2020-04-19,Rappahannock,287,68,6,Virginia
2020-04-19,Rappahannock Rapidan,122,17,2,Virginia
2020-04-19,Richmond,236,35,9,Virginia
2020-04-19,Roanoke,24,4,0,Virginia
2020-04-19,Southside,87,18,1,Virginia
2020-04-19,Thomas Jefferson,216,43,7,Virginia
2020-04-19,Three Rivers,58,7,1,Virginia
2020-04-19,Virginia Beach,281,59,8,Virginia
2020-04-19,West Piedmont,26,4,1,Virginia
2020-04-19,Western Tidewater,207,33,3,Virginia
2020-04-18,Alexandria,383,42,7,Virginia
2020-04-18,Alleghany,60,12,3,Virginia
2020-04-18,Arlington,575,110,20,Virginia
2020-04-18,Central Shenandoah,383,23,1,Virginia
2020-04-18,Central Virginia,82,7,2,Virginia
2020-04-18,Chesapeake,162,38,5,Virginia
2020-04-18,Chesterfield,342,27,7,Virginia
2020-04-18,Chickahominy,167,27,8,Virginia
2020-04-18,Crater,111,14,7,Virginia
2020-04-18,Cumberland Plateau,18,1,0,Virginia
2020-04-18,Eastern Shore,49,15,1,Virginia
2020-04-18,Fairfax,1820,335,48,Virginia
2020-04-18,Hampton,83,27,1,Virginia
2020-04-18,Henrico,584,83,71,Virginia
2020-04-18,Lenowisco,31,10,2,Virginia
2020-04-18,Lord Fairfax,188,18,0,Virginia
2020-04-18,Loudoun,425,50,7,Virginia
2020-04-18,Mount Rogers,56,15,4,Virginia
2020-04-18,New River,56,8,0,Virginia
2020-04-18,Norfolk,111,28,2,Virginia
2020-04-18,Peninsula,311,97,20,Virginia
2020-04-18,Piedmont,86,14,2,Virginia
2020-04-18,Pittsylvania-Danville,33,17,1,Virginia
2020-04-18,Portsmouth,65,24,4,Virginia
2020-04-18,Prince William,860,96,16,Virginia
2020-04-18,Rappahannock,274,68,6,Virginia
2020-04-18,Rappahannock Rapidan,111,16,2,Virginia
2020-04-18,Richmond,231,34,9,Virginia
2020-04-18,Roanoke,24,4,0,Virginia
2020-04-18,Southside,85,18,1,Virginia
2020-04-18,Thomas Jefferson,210,42,7,Virginia
2020-04-18,Three Rivers,58,7,1,Virginia
2020-04-18,Virginia Beach,273,59,8,Virginia
2020-04-18,West Piedmont,25,3,1,Virginia
2020-04-18,Western Tidewater,205,33,3,Virginia
2020-04-17,Alexandria,354,40,7,Virginia
2020-04-17,Alleghany,56,10,2,Virginia
2020-04-17,Arlington,520,54,17,Virginia
2020-04-17,Central Shenandoah,380,23,1,Virginia
2020-04-17,Central Virginia,81,7,2,Virginia
2020-04-17,Chesapeake,154,37,4,Virginia
2020-04-17,Chesterfield,342,26,7,Virginia
2020-04-17,Chickahominy,162,25,7,Virginia
2020-04-17,Crater,111,14,7,Virginia
2020-04-17,Cumberland Plateau,18,1,0,Virginia
2020-04-17,Eastern Shore,38,12,1,Virginia
2020-04-17,Fairfax,1636,309,43,Virginia
2020-04-17,Hampton,79,21,1,Virginia
2020-04-17,Henrico,559,83,71,Virginia
2020-04-17,Lenowisco,30,10,2,Virginia
2020-04-17,Lord Fairfax,188,18,0,Virginia
2020-04-17,Loudoun,413,47,7,Virginia
2020-04-17,Mount Rogers,52,14,4,Virginia
2020-04-17,New River,56,8,0,Virginia
2020-04-17,Norfolk,109,27,2,Virginia
2020-04-17,Peninsula,304,90,16,Virginia
2020-04-17,Piedmont,82,14,2,Virginia
2020-04-17,Pittsylvania-Danville,30,17,1,Virginia
2020-04-17,Portsmouth,65,24,4,Virginia
2020-04-17,Prince William,803,88,15,Virginia
2020-04-17,Rappahannock,261,68,5,Virginia
2020-04-17,Rappahannock Rapidan,104,15,2,Virginia
2020-04-17,Richmond,211,34,9,Virginia
2020-04-17,Roanoke,24,4,0,Virginia
2020-04-17,Southside,84,18,1,Virginia
2020-04-17,Thomas Jefferson,209,41,6,Virginia
2020-04-17,Three Rivers,57,7,1,Virginia
2020-04-17,Virginia Beach,271,58,7,Virginia
2020-04-17,West Piedmont,25,3,1,Virginia
2020-04-17,Western Tidewater,185,29,3,Virginia
2020-04-16,Alexandria,321,36,5,Virginia
2020-04-16,Alleghany,56,10,2,Virginia
2020-04-16,Arlington,485,53,15,Virginia
2020-04-16,Central Shenandoah,340,15,1,Virginia
2020-04-16,Central Virginia,81,6,1,Virginia
2020-04-16,Chesapeake,147,36,4,Virginia
2020-04-16,Chesterfield,317,26,7,Virginia
2020-04-16,Chickahominy,149,23,6,Virginia
2020-04-16,Crater,109,14,7,Virginia
2020-04-16,Cumberland Plateau,18,1,0,Virginia
2020-04-16,Eastern Shore,33,11,1,Virginia
2020-04-16,Fairfax,1478,285,37,Virginia
2020-04-16,Hampton,78,21,1,Virginia
2020-04-16,Henrico,532,72,62,Virginia
2020-04-16,Lenowisco,27,9,1,Virginia
2020-04-16,Lord Fairfax,169,15,0,Virginia
2020-04-16,Loudoun,385,46,7,Virginia
2020-04-16,Mount Rogers,52,14,4,Virginia
2020-04-16,New River,54,7,0,Virginia
2020-04-16,Norfolk,108,27,2,Virginia
2020-04-16,Peninsula,301,88,14,Virginia
2020-04-16,Piedmont,78,14,2,Virginia
2020-04-16,Pittsylvania-Danville,28,17,1,Virginia
2020-04-16,Portsmouth,63,23,4,Virginia
2020-04-16,Prince William,737,84,14,Virginia
2020-04-16,Rappahannock,241,68,5,Virginia
2020-04-16,Rappahannock Rapidan,95,15,2,Virginia
2020-04-16,Richmond,201,31,10,Virginia
2020-04-16,Roanoke,24,4,0,Virginia
2020-04-16,Southside,79,17,1,Virginia
2020-04-16,Thomas Jefferson,205,39,4,Virginia
2020-04-16,Three Rivers,55,7,1,Virginia
2020-04-16,Virginia Beach,265,57,6,Virginia
2020-04-16,West Piedmont,25,3,1,Virginia
2020-04-16,Western Tidewater,155,27,3,Virginia
2020-04-15,Alexandria,275,32,4,Virginia
2020-04-15,Alleghany,53,10,2,Virginia
2020-04-15,Arlington,453,50,15,Virginia
2020-04-15,Central Shenandoah,226,15,1,Virginia
2020-04-15,Central Virginia,76,6,1,Virginia
2020-04-15,Chesapeake,143,35,4,Virginia
2020-04-15,Chesterfield,290,26,7,Virginia
2020-04-15,Chickahominy,127,18,4,Virginia
2020-04-15,Crater,101,12,6,Virginia
2020-04-15,Cumberland Plateau,18,1,0,Virginia
2020-04-15,Eastern Shore,23,10,1,Virginia
2020-04-15,Fairfax,1375,271,31,Virginia
2020-04-15,Hampton,77,19,1,Virginia
2020-04-15,Henrico,497,58,57,Virginia
2020-04-15,Lenowisco,27,9,1,Virginia
2020-04-15,Lord Fairfax,155,14,0,Virginia
2020-04-15,Loudoun,378,42,6,Virginia
2020-04-15,Mount Rogers,50,13,4,Virginia
2020-04-15,New River,45,7,0,Virginia
2020-04-15,Norfolk,105,27,2,Virginia
2020-04-15,Peninsula,294,86,13,Virginia
2020-04-15,Piedmont,74,14,2,Virginia
2020-04-15,Pittsylvania-Danville,27,16,1,Virginia
2020-04-15,Portsmouth,62,23,4,Virginia
